fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
2020-01-01,8058X,OLIVA,VALENCIA,5,"8,4","0,0","3,1",07:00,"13,8",13:50,04,"0,6","3,3",12:50
2020-01-02,8058X,OLIVA,VALENCIA,5,"9,2","0,0","4,6",23:40,"13,9",13:50,26,"1,4","3,3",05:40
2020-01-03,8058X,OLIVA,VALENCIA,5,"8,5","0,0","3,2",07:40,"13,8",13:10,27,"1,1","3,9",21:50
2020-01-04,8058X,OLIVA,VALENCIA,5,"10,0","0,0","4,7",22:40,"15,3",13:50,05,"0,8","3,6",13:50
2020-01-05,8058X,OLIVA,VALENCIA,5,"8,8","0,0","2,4",06:40,"15,2",14:00,36,"0,6","4,7",11:20
2020-01-06,8058X,OLIVA,VALENCIA,5,"10,2","0,0","5,3",00:10,"15,2",11:30,29,"1,4","4,7",01:50
2020-01-07,8058X,OLIVA,VALENCIA,5,"9,4","0,0","4,1",04:00,"14,6",16:00,11,"1,1","4,7",14:20
2020-01-08,8058X,OLIVA,VALENCIA,5,"9,2","0,0","3,1",05:50,"15,2",12:10,36,"1,4","6,9",15:40
2020-01-09,8058X,OLIVA,VALENCIA,5,"10,6","0,0","6,7",07:50,"14,6",12:10,30,"1,1","4,7",23:10
2020-01-10,8058X,OLIVA,VALENCIA,5,"10,0","5,6","4,9",05:00,"15,1",12:50,01,"3,6","15,0",15:30
2020-01-11,8058X,OLIVA,VALENCIA,5,"9,3","0,0","3,9",23:59,"14,7",14:00,30,"1,7","5,0",10:00
2020-01-12,8058X,OLIVA,VALENCIA,5,"7,6","0,0","1,3",07:10,"14,0",13:20,99,"1,1","3,6",Varias
2020-01-13,8058X,OLIVA,VALENCIA,5,"7,6","0,0","0,2",05:00,"15,0",15:20,99,"1,1","4,2",12:40
2020-01-14,8058X,OLIVA,VALENCIA,5,"10,8","0,0","5,3",21:30,"16,3",11:50,14,"1,1","5,3",14:50
2020-01-15,8058X,OLIVA,VALENCIA,5,"12,4","0,0","5,5",00:20,"19,4",14:20,27,"1,1","6,9",04:20
2020-01-16,8058X,OLIVA,VALENCIA,5,"11,4","0,0","7,0",22:20,"15,7",11:40,27,"0,8","5,0",01:40
2020-01-17,8058X,OLIVA,VALENCIA,5,"13,0","0,0","6,3",03:30,"19,7",12:20,30,"2,2","13,6",10:40
2020-01-18,8058X,OLIVA,VALENCIA,5,"14,0","0,3","8,9",06:40,"19,1",15:10,99,"1,4","6,4",15:50
2020-01-19,8058X,OLIVA,VALENCIA,5,"11,1","78,9","8,5",12:40,"13,7",03:50,03,"6,1","23,3",15:50
2020-01-20,8058X,OLIVA,VALENCIA,5,"10,6","100,5","8,2",03:40,"13,1",18:00,02,"9,4","31,9",08:20
2020-01-21,8058X,OLIVA,VALENCIA,5,"11,8","6,4","8,9",00:20,"14,6",13:50,,,,
2020-01-22,8058X,OLIVA,VALENCIA,5,"10,6","0,0","7,1",02:40,"14,0",13:30,,,,
2020-01-23,8058X,OLIVA,VALENCIA,5,"8,8","0,0","5,1",07:00,"12,6",14:50,,,,
2020-01-24,8058X,OLIVA,VALENCIA,5,"10,7","0,0","7,5",00:20,"13,9",11:40,,,,
2020-01-25,8058X,OLIVA,VALENCIA,5,"12,2","0,1","9,8",07:50,"14,7",11:50,,,,
2020-01-26,8058X,OLIVA,VALENCIA,5,"13,9","0,0","8,7",04:30,"19,1",13:50,,,,
2020-01-27,8058X,OLIVA,VALENCIA,5,"13,6","0,0","8,5",04:30,"18,6",14:00,,,,
2020-01-28,8058X,OLIVA,VALENCIA,5,"16,0","0,0","13,4",01:10,"18,5",13:30,,,,
2020-01-29,8058X,OLIVA,VALENCIA,5,"18,6","0,0","14,5",01:10,"22,6",14:00,,,,
2020-01-30,8058X,OLIVA,VALENCIA,5,"18,4","0,0","14,1",07:40,"22,8",13:50,,,,
2020-01-31,8058X,OLIVA,VALENCIA,5,"18,0","0,0","14,6",23:59,"21,4",12:30,,,,
2020-02-01,8058X,OLIVA,VALENCIA,5,"18,8","0,0","13,9",02:40,"23,7",14:20,,,,
2020-02-02,8058X,OLIVA,VALENCIA,5,"18,3","0,0","12,0",23:50,"24,6",14:10,,,,
2020-02-03,8058X,OLIVA,VALENCIA,5,"15,4","0,0","9,6",07:30,"21,2",16:10,,,,
2020-02-04,8058X,OLIVA,VALENCIA,5,"20,0","0,0","12,7",00:10,"27,4",13:00,,,,
2020-02-05,8058X,OLIVA,VALENCIA,5,"11,4","0,0","7,1",23:59,"15,7",00:10,,,,
2020-02-06,8058X,OLIVA,VALENCIA,5,"10,2","0,0","5,6",04:50,"14,7",14:20,,,,
2020-02-07,8058X,OLIVA,VALENCIA,5,"11,0","0,0","6,7",00:40,"15,2",12:20,,,,
2020-02-08,8058X,OLIVA,VALENCIA,5,"9,8","0,0","4,8",07:00,"14,9",14:20,,,,
2020-02-09,8058X,OLIVA,VALENCIA,5,"11,7","0,0","7,9",06:40,"15,5",15:10,,,,
2020-02-10,8058X,OLIVA,VALENCIA,5,"16,8","0,0","8,9",00:20,"24,8",14:50,,,,
2020-02-11,8058X,OLIVA,VALENCIA,5,"18,4","0,0","12,3",23:59,"24,5",11:30,,,,
2020-02-12,8058X,OLIVA,VALENCIA,5,"14,0","0,0","9,9",03:20,"18,1",13:40,,,,
2020-02-13,8058X,OLIVA,VALENCIA,5,"16,3","0,0","9,5",07:20,"23,1",13:30,,,,
2020-02-14,8058X,OLIVA,VALENCIA,5,"13,6","0,0","9,0",23:59,"18,1",09:30,,,,
2020-02-15,8058X,OLIVA,VALENCIA,5,"12,4","0,0","6,6",06:40,"18,1",17:00,,,,
2020-02-16,8058X,OLIVA,VALENCIA,5,"14,1","0,1","10,2",07:00,"18,0",16:40,,,,
2020-02-17,8058X,OLIVA,VALENCIA,5,"14,8","0,9","7,7",05:40,"21,9",15:30,,,,
2020-02-18,8058X,OLIVA,VALENCIA,5,"14,0","0,4","13,1",23:59,"14,9",11:50,,,,
2020-02-19,8058X,OLIVA,VALENCIA,5,"12,2","0,0","8,3",23:59,"16,1",13:40,,,,
2020-02-20,8058X,OLIVA,VALENCIA,5,"11,4","0,0","5,6",07:00,"17,2",15:20,,,,
2020-02-21,8058X,OLIVA,VALENCIA,5,"11,0","0,0","5,8",04:40,"16,1",11:30,,,,
2020-02-22,8058X,OLIVA,VALENCIA,5,"10,6","0,0","4,2",06:50,"17,1",13:30,,,,
2020-02-23,8058X,OLIVA,VALENCIA,5,"11,8","0,0","5,4",06:30,"18,2",17:00,,,,
2020-02-24,8058X,OLIVA,VALENCIA,5,"12,2","0,0","4,5",07:00,"19,8",17:00,,,,
2020-02-25,8058X,OLIVA,VALENCIA,5,"17,2","0,0","7,8",00:50,"26,5",14:30,,,,
2020-02-26,8058X,OLIVA,VALENCIA,5,"17,4","0,0","12,4",23:59,"22,5",13:50,,,,
2020-02-28,8058X,OLIVA,VALENCIA,5,"16,6","0,0","10,8",23:59,"22,3",10:30,,,,
2020-02-29,8058X,OLIVA,VALENCIA,5,"16,7","0,0","6,9",06:00,"26,5",13:20,,,,
2020-03-01,8058X,OLIVA,VALENCIA,5,"18,6","0,0","14,0",22:20,"23,3",14:30,24,"4,2","13,9",23:40
2020-03-02,8058X,OLIVA,VALENCIA,5,"18,0","0,0","12,3",20:50,"23,6",12:20,29,"5,3","23,3",10:30
2020-03-03,8058X,OLIVA,VALENCIA,5,"16,4","0,0","10,4",06:00,"22,5",15:50,,,,
2020-03-04,8058X,OLIVA,VALENCIA,5,"20,5","0,0","16,3",06:40,"24,7",14:10,,,,
2020-03-05,8058X,OLIVA,VALENCIA,5,"20,1","0,0","14,4",04:00,"25,8",13:30,,,,
2020-03-06,8058X,OLIVA,VALENCIA,5,"15,3","0,0","12,1",19:50,"18,5",12:40,27,"3,9","16,4",08:40
2020-03-07,8058X,OLIVA,VALENCIA,5,"13,6","0,0","8,8",23:10,"18,5",13:40,31,"3,6","11,4",03:40
2020-03-08,8058X,OLIVA,VALENCIA,5,"14,4","0,0","8,3",05:10,"20,6",10:40,33,"1,9","8,3",20:50
2020-03-09,8058X,OLIVA,VALENCIA,5,"16,4","0,0","10,8",23:59,"21,9",13:50,29,"2,2","7,5",08:30
2020-03-10,8058X,OLIVA,VALENCIA,5,"14,6","0,0","8,8",03:50,"20,3",17:40,14,"1,9","7,8",15:50
2020-03-11,8058X,OLIVA,VALENCIA,5,"14,6","0,0","9,0",05:40,"20,3",15:00,34,"1,1","5,6",18:30
2020-03-12,8058X,OLIVA,VALENCIA,5,"13,8","0,0","9,5",05:00,"18,1",12:10,99,"1,1","5,3",19:50
2020-03-13,8058X,OLIVA,VALENCIA,5,"14,0","0,0","11,0",03:00,"17,1",11:30,01,"2,5","6,7",13:20
2020-03-14,8058X,OLIVA,VALENCIA,5,"13,6","0,0","9,6",05:50,"17,7",17:00,10,"1,4","6,4",16:20
2020-03-15,8058X,OLIVA,VALENCIA,5,"14,7","0,3","10,9",05:10,"18,5",15:00,11,"3,3","11,1",13:20
2020-03-16,8058X,OLIVA,VALENCIA,5,"13,0","11,8","9,4",20:00,"16,6",09:30,32,"1,7","10,0",22:30
2020-03-17,8058X,OLIVA,VALENCIA,5,"12,3","4,5","9,6",03:00,"15,0",17:00,,,,
2020-03-18,8058X,OLIVA,VALENCIA,5,"14,6","0,0","13,2",23:59,"16,1",11:50,,,,
2020-03-19,8058X,OLIVA,VALENCIA,5,"15,0","0,0","12,9",02:50,"17,0",14:30,,,,
2020-03-20,8058X,OLIVA,VALENCIA,5,"15,2","0,8","13,7",05:50,"16,8",11:40,,,,
2020-03-21,8058X,OLIVA,VALENCIA,5,"12,6","19,4","10,7",23:00,"14,4",00:10,,,,
2020-03-22,8058X,OLIVA,VALENCIA,5,"12,4","18,4","10,5",02:40,"14,3",12:40,,,,
2020-03-23,8058X,OLIVA,VALENCIA,5,"13,6","10,9","11,2",06:40,"16,0",14:50,,,,
2020-03-24,8058X,OLIVA,VALENCIA,5,"14,1","1,8","13,2",23:40,"15,0",Varias,,,,
2020-03-25,8058X,OLIVA,VALENCIA,5,"10,8","9,4","8,3",23:59,"13,4",00:10,,,,
2020-03-26,8058X,OLIVA,VALENCIA,5,"11,2","2,5","6,7",05:40,"15,6",13:50,,,,
2020-03-27,8058X,OLIVA,VALENCIA,5,"10,0","1,5","8,3",04:40,"11,8",14:10,,,,
2020-03-28,8058X,OLIVA,VALENCIA,5,"11,7","0,0","7,2",03:40,"16,2",13:40,,,,
2020-03-29,8058X,OLIVA,VALENCIA,5,"14,4","0,0","7,0",06:00,"21,9",16:00,,,,
2020-03-30,8058X,OLIVA,VALENCIA,5,"13,1","10,6","10,1",21:50,"16,1",00:10,,,,
2020-03-31,8058X,OLIVA,VALENCIA,5,"11,3","1,8","8,3",06:40,"14,3",14:30,,,,
2020-04-01,8058X,OLIVA,VALENCIA,5,"14,9","10,4","11,4",04:20,"18,4",10:50,,,,
2020-04-02,8058X,OLIVA,VALENCIA,5,"13,6","1,2","11,8",23:50,"15,3",14:00,,,,
2020-04-03,8058X,OLIVA,VALENCIA,5,"13,4","0,0","9,8",23:10,"17,1",10:20,,,,
2020-04-04,8058X,OLIVA,VALENCIA,5,"13,4","0,0","8,4",04:10,"18,5",15:50,,,,
2020-04-05,8058X,OLIVA,VALENCIA,5,"13,2","0,0","9,2",01:00,"17,3",13:40,,,,
2020-04-06,8058X,OLIVA,VALENCIA,5,"13,8","0,0","10,0",00:10,"17,6",16:40,,,,
2020-04-07,8058X,OLIVA,VALENCIA,5,"14,6","0,0","11,1",23:59,"18,2",12:30,,,,
2020-04-08,8058X,OLIVA,VALENCIA,5,"13,6","0,0","9,5",05:30,"17,7",14:00,,,,
2020-04-09,8058X,OLIVA,VALENCIA,5,"14,3","0,0","10,5",03:50,"18,1",12:40,,,,
2020-04-10,8058X,OLIVA,VALENCIA,5,"15,3","0,0","12,0",06:00,"18,6",12:50,,,,
2020-04-11,8058X,OLIVA,VALENCIA,5,"15,2","0,0","11,5",04:00,"18,9",11:10,,,,
2020-04-12,8058X,OLIVA,VALENCIA,5,"15,0","5,1","11,1",05:50,"18,9",13:50,,,,
2020-04-13,8058X,OLIVA,VALENCIA,5,"15,1","0,0","11,9",02:40,"18,3",11:20,,,,
2020-04-14,8058X,OLIVA,VALENCIA,5,"16,5","2,3","14,8",23:59,"18,2",10:10,,,,
2020-04-15,8058X,OLIVA,VALENCIA,5,"15,7","10,3","14,7",08:40,"16,7",16:00,,,,
2020-04-16,8058X,OLIVA,VALENCIA,5,"15,8","0,6","13,1",23:30,"18,5",10:50,,,,
2020-04-17,8058X,OLIVA,VALENCIA,5,"15,4","2,7","12,6",02:30,"18,1",14:50,,,,
2020-04-18,8058X,OLIVA,VALENCIA,5,"15,3","1,5","13,5",02:50,"17,1",15:00,,,,
2020-04-19,8058X,OLIVA,VALENCIA,5,"15,7","10,8","14,8",23:50,"16,6",16:50,,,,
2020-04-20,8058X,OLIVA,VALENCIA,5,"19,0","0,0","14,4",05:00,"23,6",11:10,,,,
2020-04-21,8058X,OLIVA,VALENCIA,5,"15,5","5,8","13,1",21:30,"17,9",12:00,,,,
2020-04-22,8058X,OLIVA,VALENCIA,5,"16,4","0,9","12,8",02:00,"20,1",13:50,,,,
2020-04-23,8058X,OLIVA,VALENCIA,5,"15,0","0,0","11,7",04:00,"18,3",12:00,,,,
2020-04-24,8058X,OLIVA,VALENCIA,5,"15,6","0,0","12,0",05:40,"19,1",10:50,,,,
2020-04-25,8058X,OLIVA,VALENCIA,5,"15,2","0,0","11,9",01:00,"18,6",13:50,,,,
2020-04-26,8058X,OLIVA,VALENCIA,5,"15,4","0,0","10,6",05:10,"20,2",15:00,,,,
2020-04-27,8058X,OLIVA,VALENCIA,5,"18,0","0,1","12,7",05:20,"23,4",10:40,,,,
2020-04-28,8058X,OLIVA,VALENCIA,5,"18,9","0,0","13,5",05:30,"24,3",16:00,,,,
2020-04-29,8058X,OLIVA,VALENCIA,5,"20,0","0,0","13,9",03:00,"26,0",13:00,,,,
2020-04-30,8058X,OLIVA,VALENCIA,5,"22,7","0,0","17,7",02:40,"27,7",15:00,,,,
2020-05-01,8058X,OLIVA,VALENCIA,5,"23,8","0,0","16,9",04:50,"30,8",15:40,,,,
2020-05-02,8058X,OLIVA,VALENCIA,5,"24,8","0,0","18,8",05:30,"30,8",12:00,,,,
2020-05-03,8058X,OLIVA,VALENCIA,5,"20,8","0,0","15,7",05:00,"25,9",13:20,,,,
2020-05-04,8058X,OLIVA,VALENCIA,5,"18,0","0,0","14,6",05:50,"21,5",10:20,,,,
2020-05-05,8058X,OLIVA,VALENCIA,5,"19,5","0,0","14,9",05:20,"24,1",15:20,,,,
2020-05-06,8058X,OLIVA,VALENCIA,5,"19,0","0,0","15,1",05:20,"23,0",13:40,,,,
2020-05-07,8058X,OLIVA,VALENCIA,5,"19,6","0,0","15,2",05:20,"23,9",12:20,,,,
2020-05-08,8058X,OLIVA,VALENCIA,5,"19,8","0,0","16,9",23:59,"22,6",14:00,,,,
2020-05-09,8058X,OLIVA,VALENCIA,5,"19,8","0,7","15,9",05:00,"23,7",16:40,,,,
2020-05-10,8058X,OLIVA,VALENCIA,5,"20,9","0,7","15,7",08:20,"26,1",14:20,,,,
2020-05-11,8058X,OLIVA,VALENCIA,5,"23,3","0,0","18,0",01:30,"28,6",16:00,,,,
2020-05-12,8058X,OLIVA,VALENCIA,5,"20,0","0,0","16,9",Varias,"23,1",08:50,,,,
2020-05-13,8058X,OLIVA,VALENCIA,5,"19,8","9,6","14,7",05:10,"24,8",11:40,,,,
2020-05-14,8058X,OLIVA,VALENCIA,5,"17,2","3,0","13,7",08:50,"20,7",17:50,,,,
2020-05-15,8058X,OLIVA,VALENCIA,5,"16,4","0,7","11,5",04:00,"21,3",13:20,,,,
2020-05-16,8058X,OLIVA,VALENCIA,5,"17,4","1,5","14,3",11:30,"20,4",16:10,,,,
2020-05-17,8058X,OLIVA,VALENCIA,5,"18,0","0,0","14,8",05:00,"21,3",12:50,,,,
2020-05-18,8058X,OLIVA,VALENCIA,5,"19,4","0,0","13,5",04:40,"25,4",16:10,,,,
2020-05-19,8058X,OLIVA,VALENCIA,5,"21,1","0,0","13,8",05:00,"28,4",16:00,,,,
2020-05-20,8058X,OLIVA,VALENCIA,5,"20,1","0,0","15,5",04:50,"24,7",12:30,,,,
2020-05-21,8058X,OLIVA,VALENCIA,5,"23,7","0,0","16,7",04:50,"30,7",17:00,,,,
2020-05-22,8058X,OLIVA,VALENCIA,5,"22,6","0,0","17,6",04:30,"27,5",18:00,,,,
2020-05-23,8058X,OLIVA,VALENCIA,5,"22,6","0,0","16,8",04:00,"28,5",16:50,,,,
2020-05-24,8058X,OLIVA,VALENCIA,5,"20,9","0,0","17,6",23:59,"24,2",12:40,,,,
2020-05-25,8058X,OLIVA,VALENCIA,5,"19,4","0,0","15,4",05:30,"23,4",12:00,,,,
2020-05-26,8058X,OLIVA,VALENCIA,5,"19,8","0,0","15,6",04:00,"24,1",11:50,,,,
2020-05-27,8058X,OLIVA,VALENCIA,5,"20,3","0,0","15,3",03:20,"25,3",13:10,,,,
2020-05-28,8058X,OLIVA,VALENCIA,5,"20,5","0,0","16,9",23:59,"24,1",12:50,,,,
2020-05-29,8058X,OLIVA,VALENCIA,5,"20,6","0,0","14,0",04:40,"27,1",14:20,,,,
2020-05-30,8058X,OLIVA,VALENCIA,5,"20,9","0,0","14,5",05:00,"27,3",17:20,,,,
2020-05-31,8058X,OLIVA,VALENCIA,5,"20,9","0,0","15,6",05:00,"26,2",15:40,,,,
2020-06-01,8058X,OLIVA,VALENCIA,5,"22,4","0,0","17,8",05:00,"27,1",18:00,,,,
2020-06-02,8058X,OLIVA,VALENCIA,5,"23,4","0,0","17,8",04:50,"29,0",16:20,,,,
2020-06-03,8058X,OLIVA,VALENCIA,5,"24,8","0,0","17,7",04:20,"31,9",16:40,,,,
2020-06-04,8058X,OLIVA,VALENCIA,5,"23,2","0,4","17,7",Varias,"28,6",09:10,,,,
2020-06-05,8058X,OLIVA,VALENCIA,5,"23,0","0,0","16,7",04:30,"29,4",11:30,,,,
2020-06-06,8058X,OLIVA,VALENCIA,5,"24,6","0,0","17,1",05:00,"32,0",16:00,,,,
2020-06-07,8058X,OLIVA,VALENCIA,5,"24,0","3,9","19,6",02:00,"28,5",15:20,,,,
2020-06-08,8058X,OLIVA,VALENCIA,5,"18,2","6,4","15,9",12:30,"20,4",07:50,,,,
2020-06-09,8058X,OLIVA,VALENCIA,5,"20,9","0,0","15,3",04:30,"26,5",14:10,,,,
2020-06-10,8058X,OLIVA,VALENCIA,5,"21,3","0,0","16,5",05:00,"26,1",17:40,,,,
2020-06-11,8058X,OLIVA,VALENCIA,5,"25,4","0,0","18,5",05:20,"32,2",14:40,,,,
2020-06-12,8058X,OLIVA,VALENCIA,5,"24,6","0,0","20,2",05:10,"29,1",12:10,,,,
2020-06-13,8058X,OLIVA,VALENCIA,5,"23,4","0,0","17,8",03:40,"29,0",12:30,,,,
2020-06-14,8058X,OLIVA,VALENCIA,5,"23,2","0,0","16,3",05:00,"30,1",15:20,,,,
2020-06-15,8058X,OLIVA,VALENCIA,5,"22,8","0,0","16,5",05:00,"29,0",18:10,,,,
2020-06-16,8058X,OLIVA,VALENCIA,5,"22,2","0,0","18,7",05:00,"25,8",12:10,,,,
2020-06-17,8058X,OLIVA,VALENCIA,5,"21,8","0,9","18,6",05:30,"25,0",11:10,,,,
2020-06-18,8058X,OLIVA,VALENCIA,5,"22,0","1,3","18,2",04:00,"25,9",11:40,,,,
2020-06-19,8058X,OLIVA,VALENCIA,5,"24,0","6,1","20,6",08:50,"27,4",17:30,,,,
2020-06-20,8058X,OLIVA,VALENCIA,5,"24,4","0,0","18,9",05:00,"29,8",16:20,,,,
2020-06-21,8058X,OLIVA,VALENCIA,5,"22,4","0,0","18,4",05:00,"26,5",13:00,,,,
2020-06-22,8058X,OLIVA,VALENCIA,5,"25,9","0,0","19,6",05:00,"32,2",14:30,,,,
2020-06-23,8058X,OLIVA,VALENCIA,5,"24,0","0,0","19,3",04:50,"28,6",15:40,,,,
2020-06-24,8058X,OLIVA,VALENCIA,5,"22,6","0,0","19,1",04:50,"26,2",12:20,,,,
2020-06-25,8058X,OLIVA,VALENCIA,5,"23,6","0,0","20,0",05:00,"27,3",14:00,,,,
2020-06-26,8058X,OLIVA,VALENCIA,5,"24,0","0,0","19,1",04:30,"28,9",14:10,,,,
2020-06-27,8058X,OLIVA,VALENCIA,5,"24,0","0,0","20,2",04:50,"27,7",14:40,,,,
2020-06-28,8058X,OLIVA,VALENCIA,5,"24,8","0,0","20,5",05:00,"29,1",18:50,,,,
2020-06-29,8058X,OLIVA,VALENCIA,5,"26,9","0,0","20,8",05:20,"33,0",17:30,,,,
2020-06-30,8058X,OLIVA,VALENCIA,5,"25,1","0,0","22,3",05:00,"27,9",09:50,,,,
2020-07-14,8058X,OLIVA,VALENCIA,5,"24,2",,"20,2",23:59,"28,3",14:00,,,,
2020-07-16,8058X,OLIVA,VALENCIA,5,"24,4","0,0","19,7",05:00,"29,2",15:00,,,,
2020-07-17,8058X,OLIVA,VALENCIA,5,"25,4","0,0","20,9",05:30,"29,8",13:10,,,,
2020-07-18,8058X,OLIVA,VALENCIA,5,"25,8","0,0","21,4",04:10,"30,2",15:00,,,,
2020-07-21,8058X,OLIVA,VALENCIA,5,,"0,0",,,,,,,,
2020-07-22,8058X,OLIVA,VALENCIA,5,"25,6","0,6","21,7",23:59,"29,4",12:40,,,,
2020-07-23,8058X,OLIVA,VALENCIA,5,"25,2","0,0","20,4",04:00,"30,0",13:30,,,,
2020-08-02,8058X,OLIVA,VALENCIA,5,"27,0","0,0","23,3",05:00,"30,7",11:20,,,,
2020-08-04,8058X,OLIVA,VALENCIA,5,"27,3","0,0","22,8",04:20,"31,8",15:10,,,,
2020-08-23,8058X,OLIVA,VALENCIA,5,"27,4","0,0","24,7",06:00,"30,2",11:00,,,,
2020-08-26,8058X,OLIVA,VALENCIA,5,,"0,0",,,,,,,,
2020-08-27,8058X,OLIVA,VALENCIA,5,"26,6","0,0","21,6",06:00,"31,7",17:10,,,,
2020-08-28,8058X,OLIVA,VALENCIA,5,"28,1","0,0","22,5",05:00,"33,7",16:30,,,,
2020-08-29,8058X,OLIVA,VALENCIA,5,"22,6","0,0","18,7",Varias,"26,5",10:40,,,,
2020-08-30,8058X,OLIVA,VALENCIA,5,"20,6","0,0","16,2",05:50,"25,0",14:40,,,,
2020-09-01,8058X,OLIVA,VALENCIA,5,,"0,0",,,,,,,,
2020-09-02,8058X,OLIVA,VALENCIA,5,,"3,6",,,,,,,,
2020-09-03,8058X,OLIVA,VALENCIA,5,,"0,0",,,,,,,,
2020-09-04,8058X,OLIVA,VALENCIA,5,,"0,0",,,,,,,,
